name,ra,dec,scifi_source,object_type,lore,image_source
Alpha Carinae,06h23m57.10988s,-52d41m44.3810s,(Dune),Star,"This star hosts the planet Arrakis, the main setting for most of the Dune series.",
Alpha Centauri,14h39m36.50s,-60d50m02.3s,"(Dune, Mass Effect, Ender's Game, Star Trek - TOS)",Binary Star System,"This binary star system is prevalent within Scifi. In Dune, this system is home to the planets Ecaz and Logi. Home of Zefram Cochrane in the Star Trek universe",
Proxima Centauri,14h29m43.00s,−62d40m46s,(The Expanse),Star,Referenced and visualized as a nearby star system in future human space expansion.,
Andromeda,0h42m42.00s,41d16m07.50s,"(Star Trek - TOS, Rick and Morty)",Galaxy,"Home of the Kelvans in the Star Trek universe, who try to take over our galaxy. In Rick and Morty season 8, the Andromeda Galaxy is revealed as the origin of the Easter Bunny, which is actually an alien bioweapon designed to induce overpopulation through pheromonal influence, attracting the attention of Space Christians, a faction dedicated to eradicating the Easter Bunnies.",
Beta Lyncis,07h28m51.4870582200s,48d11m02.180139576s,(Dune),Binary Star System,"Home to the planet Ishia, which was a holding of House Corrino in the Dune universe",
Delta Pavonis,20h08m43.6088716052s,-66d10m55.442769229s,(Dune),Star,"Home of the planet Caladan, holidng of House Atreides and birthplace of Paul Muab Dib.",
Epsilon Alangue,16h18m19.2902245358s,-04d41m33.047349888s,(Dune),Star,"Home of the planet Porithrim, thought to be the origin of the Zensunni wanderers (predecesors of the Fremen).",
Gamma Piscium,23h17m09.9371132484s,03d16m56.245688417s,(Dune),Star,"Home to several planets including Selusa Secundus, which was once the home planet of House Corrino.",
Andromeda Galaxy,0h42m42.00s,41d16m00.0s,(Star Trek - TOS),Galaxy,"Home of the Kelvans, who try to take over our galaxy.",
Pinwheel Galaxy,1h33m54.00s,30d39m00.0s,(Star Trek - TNG),Galaxy,,
Tau Ceti,1h44m05.13s,-15d56m14.4s,"(Star Trek -TNG, VOY, Mass Effect)",Star,Tau Ceti III is in this system in the Star Trek universe. It is also a nearby star system with colonies and lore significance in the Mass Effect universe.,
Delta Trianguli,2h17m02.42s,34d13m29.4s,(Star Trek - TAS),Star,Delta Triangle where ships vanish.,
Gamma Trianguli,2h17m18.84s,33d50m50.4s,(Star Trek - TOS),Star,Gamma Trianguli VI guarded by Vaal.,
Mira (Omicron Ceti),2h19m20.79s,-02d58m37.4s,"(Star Trek - TOS, TNG)",Star,Ceti III: spores; Dytallix B: alien parasites.,
Acamar,2h58m15.72s,-40d18m17.0s,(Star Trek - TNG),Star,Acamar III: Acamarian homeworld.,
Menkar (Alpha Ceti),3h02m16.78s,04d05m23.7s,"(Star Trek - TOS,TOS)",Star,Ceti Alpha V: Khan marooned. VI: destroyed.,
