name,ra,dec,scifi_source,object_type,lore
Alpha Carinae,06h23m57.10988s,-52d41m44.3810s,(Dune),Star,"This star hosts the planet Arrakis, the main setting for most of the Dune series."
Alpha Centauri,14h39m36.50s,-60d50m02.3s,"(Dune, Mass Effect, Ender's Game, Star Trek - TOS, Foundation)",Binary Star System,"This binary star system is very prevalent within Scifi. In Dune, this system is home to the planets Ecaz and Logi. Home of Zefram Cochrane in the Star Trek universe, it also appears prominently near the end of the Foundation series."
Proxima Centauri,14h29m43.00s,−62d40m46s,"(The Expanse, Babylon 5)",Star,Referenced and visualized as a nearby star system in future human space expansion. Also mentioned as a colony of Earth in Babylon 5
Andromeda,0h42m42.00s,41d16m07.50s,"(Star Trek - TOS, Rick and Morty)",Galaxy,"Home of the Kelvans in the Star Trek universe, who try to take over our galaxy. In Rick and Morty season 8, the Andromeda Galaxy is revealed as the origin of the Easter Bunny, which is actually an alien bioweapon designed to induce overpopulation through pheromonal influence, attracting the attention of Space Christians, a faction dedicated to eradicating the Easter Bunnies."
Beta Lyncis,07h28m51.4870582200s,48d11m02.180139576s,(Dune),Binary Star System,"Home to the planet Ishia, which was a holding of House Corrino in the Dune universe"
Delta Pavonis,20h08m43.6088716052s,-66d10m55.442769229s,(Dune),Star,"Home of the planet Caladan, holidng of House Atreides and birthplace of Paul Muab Dib."
Epsilon Alangue,16h18m19.2902245358s,-04d41m33.047349888s,(Dune),Star,"Home of the planet Porithrim, thought to be the origin of the Zensunni wanderers (predecesors of the Fremen)."
Gamma Piscium,23h17m09.9371132484s,03d16m56.245688417s,(Dune),Star,"Home to several planets including Selusa Secundus, which was once the home planet of House Corrino."
Andromeda Galaxy,0h42m42.00s,41d16m00.0s,(Star Trek - TOS),Galaxy,"Home of the Kelvans, who try to take over our galaxy."
Pinwheel Galaxy,1h33m54.00s,30d39m00.0s,(Star Trek - TNG),Galaxy,Mentioned in Star Trek TNG S1E6 Where No One Has Gone Before
Tau Ceti,1h44m05.13s,-15d56m14.4s,"(Star Trek -TNG, VOY, Mass Effect, The Expanse, Halo, Project Hail Mary)",Star,"In Halo, this system was the site of operation first strike, where the Master Chief succesfully destroyed a massive Covenant armada set to invade Earth between Halo CE and 2. In the Expanse, this system was the set destination of the generation ship the Nauvou, before the ship was repurposed after the Eros incident. The system shows up as a colony in the Mass Effect games, and plays a prominent role in the book Project Hail Mary."
Delta Trianguli,2h17m02.42s,34d13m29.4s,(Star Trek - TAS),Star,Delta Triangle where ships vanish.
Gamma Trianguli,2h17m18.84s,33d50m50.4s,(Star Trek - TOS),Star,Gamma Trianguli VI guarded by Vaal.
Mira (Omicron Ceti),2h19m20.79s,-02d58m37.4s,"(Star Trek - TOS, TNG)",Star,Ceti III: spores; Dytallix B: alien parasites.
Acamar,2h58m15.72s,-40d18m17.0s,(Star Trek - TNG),Star,Acamar III: Acamarian homeworld.
Menkar (Alpha Ceti),3h02m16.78s,04d05m23.7s,"(Star Trek - TOS,TOS)",Star,Ceti Alpha V: Khan marooned. VI: destroyed.
Pleiades,3h47m00.00s,24d07m00.0s,(Star Trek - TNG),Open Cluster,Crystalline lifeform.
Keid (40 Eridani),4h15m17.64s,-07d38m40.4s,"(Star Trek - TOS,VOY)",Triple Star System,Vulcan and sister planet T'Khut.
Hyadum I,4h19m47.53s,15d37m39.7s,(Star Trek -TNG),Star,Gamma Tauri IV: Ferengi raid.
Aldebaran,4h34m58.61s,16d59m41.6s,"(Star Trek - TOS,TNG",Star,Aldebaran III: music academy.
Rigel,5h14m32.30s,-08d12m06.0s,"(Star Trek -TOS, DS9, TNG, Mass Effect)",Star,Includes Rigel IV–XII planets in the Star Trek universe. It is also a star system containing several colonies and missions in Mass Effect galaxy map.
Capella,5h16m41.30s,45d59m56.5s,"(Star Trek -TOS, TAS)",Binary Star System,Capella IV: topaline.
